,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250
10,0.524,0.515,0.506,0.486,0.457,0.418,0.370,0.312,0.245,0.169,0.115,0.105,0.096,0.087,0.077,0.068,0.059,0.049,0.040,0.035,0.035,0.035,0.035,0.035,0.035,0.035
20,0.540,0.524,0.514,0.503,0.483,0.452,0.413,0.364,0.305,0.237,0.186,0.171,0.156,0.142,0.127,0.112,0.097,0.082,0.072,0.068,0.068,0.068,0.068,0.068,0.068,0.068
30,0.564,0.542,0.525,0.515,0.503,0.481,0.450,0.410,0.360,0.301,0.252,0.232,0.211,0.191,0.170,0.150,0.129,0.113,0.104,0.101,0.100,0.101,0.100,0.100,0.101,0.101
40,0.598,0.569,0.547,0.530,0.518,0.505,0.482,0.450,0.409,0.359,0.313,0.287,0.261,0.235,0.209,0.183,0.161,0.146,0.137,0.133,0.133,0.133,0.133,0.133,0.133,0.133
50,0.641,0.606,0.577,0.553,0.535,0.522,0.509,0.486,0.453,0.410,0.368,0.336,0.304,0.273,0.241,0.214,0.194,0.179,0.170,0.166,0.166,0.167,0.166,0.166,0.166,0.166
60,0.694,0.653,0.617,0.587,0.562,0.543,0.529,0.515,0.490,0.457,0.417,0.380,0.343,0.306,0.273,0.247,0.227,0.212,0.203,0.199,0.199,0.199,0.199,0.199,0.200,0.199
70,0.756,0.708,0.666,0.629,0.598,0.573,0.553,0.538,0.523,0.497,0.461,0.418,0.375,0.337,0.306,0.280,0.259,0.245,0.235,0.232,0.232,0.232,0.232,0.232,0.232,0.232
80,0.828,0.774,0.725,0.682,0.644,0.612,0.585,0.565,0.550,0.533,0.499,0.451,0.407,0.370,0.339,0.312,0.293,0.278,0.268,0.265,0.264,0.265,0.265,0.265,0.264,0.265
90,0.909,0.848,0.793,0.744,0.700,0.661,0.628,0.601,0.579,0.563,0.531,0.482,0.440,0.403,0.371,0.346,0.325,0.311,0.301,0.298,0.298,0.298,0.298,0.298,0.298,0.298
100,0.964,0.902,0.845,0.793,0.748,0.708,0.673,0.644,0.621,0.603,0.572,0.521,0.476,0.437,0.403,0.375,0.353,0.336,0.324,0.319,0.317,0.317,0.317,0.317,0.317,0.318
110,0.968,0.911,0.859,0.814,0.774,0.739,0.710,0.687,0.669,0.653,0.624,0.572,0.521,0.476,0.437,0.403,0.375,0.352,0.335,0.324,0.318,0.317,0.318,0.317,0.317,0.317
120,0.972,0.920,0.875,0.835,0.800,0.771,0.747,0.729,0.713,0.696,0.669,0.623,0.572,0.521,0.476,0.437,0.403,0.375,0.352,0.336,0.324,0.318,0.317,0.317,0.317,0.317
130,0.975,0.930,0.889,0.855,0.826,0.803,0.785,0.769,0.751,0.734,0.709,0.669,0.624,0.572,0.521,0.476,0.437,0.403,0.375,0.353,0.336,0.324,0.318,0.318,0.318,0.318
140,0.979,0.939,0.904,0.875,0.852,0.834,0.818,0.800,0.783,0.765,0.743,0.708,0.669,0.623,0.572,0.520,0.476,0.437,0.403,0.375,0.352,0.335,0.324,0.318,0.318,0.317
150,0.983,0.948,0.919,0.896,0.878,0.862,0.845,0.827,0.809,0.792,0.772,0.743,0.709,0.669,0.623,0.572,0.521,0.476,0.437,0.403,0.375,0.353,0.336,0.324,0.319,0.317
160,0.987,0.958,0.934,0.916,0.900,0.883,0.866,0.848,0.830,0.813,0.794,0.772,0.743,0.709,0.669,0.624,0.572,0.521,0.476,0.437,0.403,0.375,0.352,0.335,0.324,0.318
170,0.991,0.967,0.949,0.933,0.916,0.898,0.880,0.863,0.845,0.828,0.812,0.794,0.771,0.743,0.708,0.669,0.623,0.572,0.521,0.476,0.437,0.403,0.375,0.352,0.336,0.324
180,0.994,0.976,0.961,0.943,0.925,0.908,0.890,0.873,0.855,0.838,0.824,0.812,0.794,0.771,0.743,0.709,0.669,0.624,0.571,0.521,0.476,0.437,0.403,0.374,0.352,0.335
190,0.998,0.982,0.965,0.947,0.929,0.912,0.894,0.877,0.860,0.842,0.831,0.824,0.812,0.795,0.771,0.743,0.709,0.669,0.623,0.572,0.521,0.476,0.437,0.403,0.375,0.353
200,1.000,0.982,0.965,0.947,0.930,0.912,0.895,0.877,0.860,0.842,0.832,0.830,0.824,0.812,0.795,0.771,0.743,0.709,0.669,0.623,0.571,0.521,0.476,0.436,0.403,0.375
210,1.000,0.982,0.965,0.947,0.930,0.912,0.895,0.877,0.860,0.842,0.831,0.831,0.830,0.824,0.812,0.794,0.771,0.743,0.708,0.669,0.624,0.571,0.520,0.476,0.437,0.403
220,1.000,0.982,0.965,0.947,0.930,0.912,0.894,0.877,0.860,0.842,0.832,0.832,0.832,0.830,0.824,0.812,0.795,0.771,0.743,0.709,0.669,0.624,0.572,0.520,0.476,0.437
230,1.000,0.982,0.965,0.947,0.930,0.912,0.895,0.877,0.860,0.842,0.832,0.832,0.831,0.831,0.830,0.824,0.812,0.794,0.771,0.742,0.708,0.669,0.623,0.571,0.521,0.476
240,1.000,0.982,0.965,0.947,0.930,0.912,0.894,0.877,0.860,0.842,0.832,0.832,0.831,0.831,0.831,0.830,0.824,0.812,0.794,0.771,0.743,0.708,0.669,0.623,0.572,0.521
250,1.000,0.982,0.965,0.947,0.930,0.912,0.895,0.877,0.860,0.842,0.832,0.831,0.831,0.832,0.832,0.832,0.830,0.824,0.812,0.795,0.771,0.743,0.708,0.669,0.623,0.571
