,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250
10,0.525,0.515,0.504,0.483,0.454,0.414,0.366,0.308,0.240,0.162,0.107,0.095,0.083,0.071,0.060,0.048,0.036,0.024,0.012,0.006,0.006,0.006,0.006,0.006,0.006,0.006
20,0.540,0.520,0.507,0.495,0.473,0.442,0.401,0.351,0.291,0.222,0.168,0.148,0.128,0.109,0.089,0.069,0.049,0.029,0.015,0.010,0.010,0.010,0.010,0.010,0.010,0.010
30,0.565,0.535,0.513,0.499,0.485,0.461,0.429,0.387,0.335,0.274,0.221,0.193,0.166,0.138,0.110,0.082,0.054,0.032,0.019,0.014,0.013,0.013,0.013,0.013,0.013,0.013
40,0.598,0.558,0.528,0.504,0.488,0.473,0.449,0.414,0.371,0.317,0.266,0.231,0.195,0.159,0.123,0.087,0.057,0.036,0.023,0.017,0.017,0.017,0.017,0.017,0.017,0.017
50,0.641,0.592,0.552,0.518,0.494,0.477,0.460,0.434,0.398,0.353,0.303,0.260,0.216,0.172,0.128,0.090,0.061,0.039,0.026,0.021,0.021,0.021,0.021,0.021,0.021,0.021
60,0.694,0.636,0.585,0.543,0.509,0.482,0.464,0.446,0.418,0.380,0.333,0.281,0.229,0.177,0.131,0.094,0.065,0.043,0.030,0.025,0.025,0.025,0.025,0.025,0.025,0.025
70,0.756,0.689,0.629,0.577,0.533,0.497,0.469,0.449,0.429,0.400,0.354,0.294,0.234,0.180,0.135,0.097,0.068,0.047,0.034,0.029,0.029,0.029,0.029,0.029,0.029,0.029
80,0.828,0.751,0.681,0.620,0.567,0.521,0.484,0.455,0.433,0.412,0.367,0.299,0.237,0.184,0.139,0.101,0.072,0.051,0.038,0.033,0.032,0.032,0.033,0.032,0.032,0.032
90,0.909,0.822,0.744,0.673,0.610,0.555,0.508,0.469,0.438,0.415,0.372,0.301,0.241,0.187,0.143,0.105,0.076,0.055,0.041,0.036,0.036,0.036,0.036,0.036,0.036,0.036
100,0.964,0.875,0.793,0.719,0.655,0.597,0.548,0.507,0.473,0.447,0.403,0.331,0.267,0.210,0.162,0.122,0.089,0.065,0.048,0.040,0.038,0.039,0.038,0.039,0.039,0.038
110,0.968,0.886,0.813,0.748,0.690,0.641,0.600,0.566,0.541,0.519,0.478,0.404,0.331,0.267,0.210,0.162,0.121,0.089,0.065,0.048,0.040,0.039,0.039,0.038,0.038,0.039
120,0.972,0.898,0.833,0.776,0.726,0.685,0.651,0.626,0.604,0.581,0.543,0.478,0.404,0.330,0.266,0.210,0.162,0.121,0.089,0.065,0.048,0.040,0.038,0.038,0.039,0.038
130,0.976,0.910,0.852,0.803,0.762,0.729,0.703,0.682,0.659,0.635,0.600,0.544,0.478,0.404,0.331,0.266,0.210,0.162,0.121,0.089,0.065,0.048,0.040,0.038,0.039,0.038
140,0.979,0.922,0.873,0.831,0.798,0.773,0.751,0.727,0.704,0.681,0.650,0.600,0.543,0.478,0.404,0.330,0.267,0.210,0.162,0.121,0.089,0.064,0.048,0.040,0.039,0.038
150,0.983,0.934,0.892,0.859,0.833,0.812,0.789,0.766,0.742,0.719,0.691,0.650,0.600,0.543,0.478,0.404,0.331,0.267,0.210,0.162,0.122,0.089,0.065,0.048,0.040,0.039
160,0.987,0.945,0.912,0.887,0.865,0.842,0.819,0.795,0.772,0.749,0.724,0.691,0.650,0.600,0.543,0.478,0.404,0.331,0.266,0.210,0.161,0.121,0.089,0.064,0.048,0.040
170,0.991,0.957,0.932,0.910,0.887,0.864,0.841,0.817,0.794,0.771,0.749,0.724,0.691,0.650,0.600,0.543,0.478,0.404,0.331,0.267,0.210,0.161,0.121,0.089,0.064,0.048
180,0.995,0.969,0.948,0.924,0.901,0.878,0.854,0.831,0.808,0.785,0.767,0.749,0.724,0.691,0.650,0.601,0.543,0.478,0.404,0.331,0.266,0.210,0.162,0.121,0.089,0.065
190,0.998,0.977,0.953,0.930,0.907,0.884,0.861,0.838,0.814,0.791,0.776,0.766,0.750,0.724,0.691,0.650,0.601,0.543,0.478,0.404,0.331,0.266,0.210,0.162,0.122,0.089
200,1.000,0.977,0.954,0.930,0.907,0.884,0.861,0.838,0.815,0.791,0.777,0.776,0.767,0.749,0.724,0.691,0.650,0.600,0.543,0.478,0.404,0.331,0.266,0.210,0.162,0.121
210,1.000,0.977,0.954,0.930,0.907,0.884,0.861,0.838,0.815,0.791,0.777,0.778,0.775,0.767,0.749,0.724,0.691,0.649,0.600,0.543,0.478,0.404,0.331,0.267,0.210,0.162
220,1.000,0.977,0.954,0.930,0.907,0.884,0.861,0.837,0.815,0.791,0.777,0.777,0.777,0.776,0.767,0.749,0.724,0.691,0.649,0.600,0.543,0.478,0.404,0.331,0.266,0.210
230,1.000,0.977,0.954,0.930,0.907,0.884,0.861,0.838,0.814,0.791,0.777,0.777,0.777,0.777,0.776,0.767,0.749,0.724,0.690,0.650,0.600,0.543,0.478,0.404,0.331,0.266
240,1.000,0.977,0.954,0.930,0.907,0.884,0.861,0.838,0.814,0.791,0.777,0.777,0.777,0.777,0.777,0.776,0.766,0.749,0.724,0.691,0.649,0.600,0.543,0.478,0.404,0.331
250,1.000,0.977,0.954,0.930,0.907,0.884,0.861,0.838,0.814,0.791,0.777,0.777,0.778,0.777,0.777,0.778,0.776,0.767,0.749,0.724,0.691,0.649,0.600,0.543,0.478,0.404
