,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250
10,0.486,0.477,0.468,0.450,0.423,0.388,0.345,0.292,0.231,0.161,0.111,0.102,0.094,0.085,0.076,0.066,0.058,0.048,0.039,0.035,0.035,0.035,0.035,0.035,0.035,0.035
20,0.509,0.494,0.484,0.474,0.455,0.427,0.391,0.346,0.292,0.231,0.184,0.169,0.154,0.140,0.125,0.111,0.096,0.082,0.071,0.067,0.068,0.068,0.068,0.068,0.068,0.068
30,0.540,0.519,0.502,0.492,0.481,0.461,0.432,0.395,0.349,0.295,0.250,0.230,0.210,0.190,0.170,0.149,0.129,0.113,0.104,0.100,0.100,0.101,0.100,0.101,0.101,0.100
40,0.580,0.552,0.529,0.512,0.501,0.488,0.468,0.438,0.400,0.353,0.311,0.285,0.260,0.234,0.208,0.182,0.161,0.146,0.137,0.133,0.134,0.133,0.133,0.133,0.133,0.133
50,0.628,0.594,0.564,0.541,0.523,0.511,0.497,0.475,0.445,0.406,0.366,0.335,0.304,0.273,0.241,0.214,0.194,0.179,0.170,0.166,0.166,0.166,0.166,0.166,0.166,0.166
60,0.685,0.644,0.609,0.579,0.554,0.535,0.522,0.507,0.485,0.453,0.416,0.379,0.343,0.305,0.273,0.247,0.227,0.212,0.203,0.199,0.199,0.199,0.199,0.199,0.199,0.199
70,0.751,0.703,0.662,0.625,0.594,0.569,0.549,0.534,0.519,0.495,0.460,0.418,0.376,0.337,0.306,0.280,0.259,0.245,0.235,0.232,0.232,0.232,0.232,0.232,0.232,0.232
80,0.826,0.771,0.722,0.680,0.642,0.610,0.584,0.563,0.547,0.532,0.499,0.451,0.407,0.370,0.339,0.313,0.293,0.278,0.268,0.265,0.265,0.264,0.265,0.265,0.265,0.265
90,0.908,0.848,0.793,0.743,0.699,0.660,0.627,0.600,0.578,0.562,0.531,0.483,0.440,0.403,0.371,0.346,0.325,0.311,0.301,0.298,0.298,0.298,0.298,0.298,0.297,0.297
100,0.964,0.901,0.844,0.793,0.747,0.708,0.673,0.643,0.620,0.603,0.572,0.521,0.476,0.437,0.403,0.375,0.352,0.335,0.324,0.318,0.317,0.318,0.317,0.317,0.317,0.317
110,0.967,0.911,0.859,0.813,0.773,0.739,0.709,0.686,0.668,0.652,0.623,0.571,0.520,0.476,0.437,0.404,0.375,0.353,0.336,0.324,0.318,0.318,0.318,0.317,0.318,0.317
120,0.971,0.919,0.874,0.833,0.799,0.770,0.746,0.729,0.713,0.696,0.669,0.623,0.572,0.521,0.475,0.437,0.403,0.375,0.352,0.335,0.324,0.318,0.317,0.317,0.317,0.317
130,0.974,0.928,0.888,0.854,0.825,0.801,0.783,0.767,0.750,0.733,0.709,0.669,0.623,0.572,0.520,0.475,0.437,0.403,0.375,0.353,0.335,0.324,0.318,0.317,0.317,0.318
140,0.978,0.937,0.903,0.874,0.850,0.832,0.817,0.799,0.782,0.765,0.743,0.708,0.668,0.623,0.571,0.521,0.476,0.437,0.403,0.375,0.352,0.335,0.324,0.318,0.317,0.318
150,0.981,0.946,0.917,0.894,0.876,0.860,0.843,0.826,0.809,0.792,0.771,0.743,0.708,0.669,0.623,0.572,0.521,0.476,0.437,0.403,0.375,0.352,0.336,0.324,0.319,0.317
160,0.984,0.955,0.932,0.914,0.898,0.881,0.864,0.847,0.829,0.812,0.795,0.771,0.743,0.708,0.668,0.623,0.572,0.521,0.476,0.437,0.403,0.375,0.352,0.336,0.324,0.318
170,0.988,0.964,0.946,0.931,0.914,0.896,0.879,0.862,0.845,0.828,0.812,0.794,0.771,0.742,0.708,0.669,0.624,0.572,0.520,0.476,0.437,0.403,0.375,0.352,0.335,0.324
180,0.991,0.974,0.958,0.941,0.923,0.906,0.889,0.872,0.855,0.837,0.824,0.812,0.794,0.771,0.742,0.708,0.668,0.623,0.571,0.521,0.476,0.437,0.403,0.375,0.352,0.335
190,0.995,0.979,0.962,0.945,0.927,0.910,0.893,0.876,0.859,0.842,0.830,0.824,0.812,0.794,0.771,0.743,0.708,0.669,0.624,0.572,0.520,0.476,0.437,0.403,0.375,0.353
200,0.996,0.979,0.962,0.945,0.927,0.910,0.893,0.876,0.859,0.842,0.831,0.830,0.824,0.812,0.794,0.771,0.743,0.708,0.669,0.623,0.572,0.520,0.476,0.437,0.403,0.375
210,0.996,0.979,0.962,0.945,0.928,0.910,0.893,0.876,0.859,0.842,0.832,0.831,0.830,0.824,0.812,0.795,0.771,0.742,0.708,0.668,0.623,0.571,0.520,0.476,0.436,0.403
220,0.996,0.979,0.962,0.945,0.928,0.910,0.893,0.876,0.859,0.842,0.831,0.831,0.831,0.830,0.824,0.812,0.794,0.771,0.743,0.708,0.669,0.623,0.571,0.521,0.476,0.437
230,0.996,0.979,0.962,0.945,0.927,0.910,0.893,0.876,0.859,0.841,0.832,0.831,0.832,0.832,0.830,0.824,0.812,0.794,0.771,0.743,0.708,0.669,0.623,0.571,0.521,0.476
240,0.996,0.979,0.962,0.945,0.928,0.910,0.893,0.876,0.859,0.842,0.831,0.831,0.832,0.832,0.831,0.830,0.824,0.812,0.794,0.771,0.743,0.708,0.668,0.624,0.572,0.521
250,0.996,0.979,0.962,0.945,0.928,0.910,0.893,0.876,0.859,0.842,0.831,0.831,0.831,0.831,0.831,0.831,0.830,0.824,0.812,0.794,0.771,0.743,0.708,0.669,0.623,0.571
