,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250
10,0.506,0.495,0.485,0.466,0.439,0.401,0.355,0.300,0.235,0.162,0.110,0.099,0.089,0.079,0.069,0.058,0.048,0.038,0.027,0.022,0.022,0.022,0.022,0.022,0.022,0.022
20,0.524,0.507,0.496,0.485,0.464,0.435,0.396,0.349,0.292,0.227,0.177,0.160,0.143,0.126,0.109,0.092,0.075,0.058,0.046,0.042,0.042,0.042,0.042,0.042,0.042,0.042
30,0.552,0.527,0.508,0.496,0.484,0.462,0.431,0.392,0.343,0.285,0.237,0.214,0.190,0.167,0.143,0.119,0.096,0.077,0.066,0.062,0.062,0.061,0.062,0.061,0.061,0.061
40,0.588,0.556,0.529,0.509,0.496,0.482,0.460,0.428,0.387,0.337,0.291,0.261,0.231,0.201,0.170,0.140,0.115,0.097,0.086,0.082,0.081,0.081,0.081,0.081,0.081,0.082
50,0.635,0.594,0.559,0.532,0.510,0.496,0.482,0.458,0.425,0.382,0.338,0.301,0.264,0.228,0.190,0.159,0.134,0.116,0.106,0.101,0.101,0.101,0.101,0.101,0.101,0.102
60,0.690,0.641,0.598,0.563,0.534,0.512,0.496,0.480,0.455,0.421,0.379,0.336,0.292,0.248,0.210,0.178,0.154,0.137,0.125,0.121,0.121,0.121,0.121,0.121,0.121,0.121
70,0.754,0.697,0.647,0.603,0.567,0.537,0.514,0.496,0.479,0.453,0.413,0.363,0.312,0.267,0.229,0.198,0.174,0.156,0.146,0.141,0.141,0.141,0.141,0.141,0.141,0.141
80,0.826,0.762,0.704,0.653,0.609,0.570,0.539,0.514,0.496,0.478,0.440,0.383,0.331,0.287,0.249,0.218,0.194,0.176,0.165,0.161,0.161,0.161,0.161,0.161,0.161,0.161
90,0.909,0.836,0.770,0.711,0.659,0.613,0.574,0.542,0.516,0.496,0.460,0.402,0.351,0.307,0.269,0.238,0.214,0.196,0.185,0.181,0.181,0.181,0.181,0.181,0.181,0.181
100,0.964,0.889,0.821,0.760,0.706,0.658,0.617,0.582,0.554,0.533,0.497,0.436,0.382,0.336,0.295,0.261,0.235,0.214,0.201,0.194,0.193,0.193,0.193,0.193,0.193,0.193
110,0.968,0.900,0.839,0.784,0.736,0.695,0.661,0.633,0.611,0.593,0.559,0.497,0.436,0.382,0.336,0.295,0.262,0.234,0.214,0.201,0.194,0.193,0.193,0.193,0.193,0.193
120,0.971,0.910,0.856,0.807,0.767,0.732,0.704,0.683,0.664,0.645,0.613,0.558,0.497,0.436,0.383,0.336,0.295,0.262,0.235,0.214,0.201,0.194,0.193,0.193,0.193,0.192
130,0.975,0.920,0.872,0.831,0.797,0.769,0.748,0.729,0.709,0.689,0.660,0.612,0.558,0.497,0.436,0.382,0.336,0.296,0.262,0.235,0.215,0.201,0.194,0.193,0.193,0.193
140,0.978,0.931,0.889,0.855,0.827,0.806,0.787,0.767,0.747,0.728,0.701,0.660,0.612,0.558,0.497,0.436,0.382,0.335,0.296,0.262,0.235,0.214,0.201,0.194,0.193,0.193
150,0.982,0.941,0.906,0.878,0.857,0.838,0.818,0.799,0.779,0.759,0.735,0.701,0.660,0.613,0.559,0.497,0.436,0.382,0.336,0.295,0.261,0.235,0.215,0.201,0.194,0.193
160,0.986,0.951,0.923,0.902,0.883,0.864,0.843,0.824,0.804,0.784,0.763,0.735,0.701,0.660,0.612,0.558,0.497,0.436,0.382,0.336,0.295,0.261,0.235,0.215,0.201,0.194
170,0.989,0.961,0.940,0.922,0.902,0.882,0.862,0.842,0.822,0.802,0.784,0.763,0.735,0.701,0.660,0.613,0.559,0.497,0.436,0.382,0.335,0.295,0.262,0.235,0.214,0.201
180,0.993,0.972,0.953,0.933,0.913,0.894,0.874,0.854,0.834,0.814,0.798,0.784,0.763,0.736,0.701,0.660,0.613,0.559,0.496,0.436,0.382,0.336,0.295,0.261,0.235,0.214
190,0.996,0.978,0.958,0.938,0.918,0.898,0.878,0.859,0.839,0.819,0.806,0.798,0.784,0.763,0.735,0.701,0.660,0.613,0.558,0.497,0.436,0.382,0.336,0.295,0.261,0.235
200,0.998,0.978,0.958,0.938,0.918,0.899,0.879,0.859,0.839,0.819,0.807,0.806,0.798,0.784,0.763,0.735,0.701,0.660,0.612,0.559,0.497,0.436,0.382,0.335,0.295,0.261
210,0.998,0.978,0.958,0.938,0.919,0.898,0.879,0.859,0.839,0.819,0.807,0.807,0.806,0.798,0.784,0.763,0.735,0.701,0.660,0.613,0.559,0.497,0.436,0.382,0.335,0.295
220,0.998,0.978,0.958,0.938,0.918,0.899,0.879,0.859,0.839,0.819,0.807,0.807,0.808,0.806,0.798,0.784,0.763,0.736,0.701,0.660,0.612,0.559,0.497,0.436,0.382,0.335
230,0.998,0.978,0.958,0.939,0.919,0.899,0.879,0.859,0.839,0.819,0.807,0.807,0.807,0.807,0.806,0.798,0.784,0.763,0.735,0.701,0.660,0.613,0.559,0.497,0.436,0.383
240,0.998,0.978,0.958,0.938,0.919,0.899,0.879,0.859,0.839,0.819,0.807,0.807,0.807,0.807,0.807,0.806,0.798,0.784,0.763,0.736,0.701,0.660,0.613,0.559,0.497,0.436
250,0.998,0.978,0.958,0.939,0.918,0.899,0.879,0.859,0.839,0.819,0.807,0.807,0.807,0.807,0.807,0.807,0.806,0.798,0.784,0.763,0.735,0.701,0.660,0.613,0.558,0.496
